Timestamp,Senior Tutor Name,Session Number,Introduction [Identify where the student is stuck in solving the problem?],Introduction [Provide a clear overview?],Instruction [Provide a correct explanation?],Instruction [Deliver an appropriate explanation that follows the given instructions?],Instruction [Adapt explanation to student's level of understanding?],Instruction [Actively engage the student?],Instruction [Consistently check in with the student to ensure that they are following along?],Overall [Communicate clearly throughout the session?]
5/6/2016 9:02:35,Senior Tutor 11,Session 6,Yes,No,No,Yes,No,No,No,Yes
5/6/2016 9:03:59,Senior Tutor 12,Session 2,Yes,No,Yes,No,No,Yes,Yes,Yes
5/6/2016 9:06:55,Senior Tutor 11,Session 7,Yes,Yes,Yes,Yes,Yes,No,No,Yes
5/6/2016 9:07:22,Senior Tutor 12,Session 3,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 9:09:09,Senior Tutor 10,Session 8,Yes,No,Yes,No,Yes,No,No,No
5/6/2016 9:11:47,Senior Tutor 11,Session 8,No,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 9:13:26,Senior Tutor 12,Session 4,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 9:15:00,Senior Tutor 11,Session 9,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 9:17:44,Senior Tutor 11,Session 10,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 9:18:27,Senior Tutor 12,Session 5,Yes,No,Yes,Yes,Yes,Yes,Yes,No
5/6/2016 9:18:27,Senior Tutor 10,Session 9,Yes,No,Yes,No,Yes,Yes,Yes,No
5/6/2016 9:23:24,Senior Tutor 12,Session 6,Yes,No,No,No,No,Yes,No,Yes
5/6/2016 9:26:27,Senior Tutor 12,Session 7,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 9:30:16,Senior Tutor 10,Session 10,Yes,No,Yes,No,Yes,Yes,Yes,No
5/6/2016 9:32:11,Senior Tutor 12,Session 8,No,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 9:36:00,Senior Tutor 12,Session 9,Yes,No,Yes,Yes,Yes,No,No,Yes
5/6/2016 9:43:18,Senior Tutor 12,Session 10,Yes,No,Yes,No,Yes,Yes,No,No
5/6/2016 10:41:15,Senior Tutor 13,Session 0,No,No,No,No,No,No,No,No
5/6/2016 10:45:09,Senior Tutor 13,Session 1,No,No,Yes,No,Yes,No,No,Yes
5/6/2016 10:48:00,Senior Tutor 13,Session 2,Yes,No,Yes,No,No,No,No,Yes
5/6/2016 10:50:11,Senior Tutor 13,Session 3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 10:52:48,Senior Tutor 13,Session 4,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 10:55:09,Senior Tutor 13,Session 5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 10:58:09,Senior Tutor 13,Session 6,No,No,No,No,No,No,No,No
5/6/2016 11:01:19,Senior Tutor 13,Session 7,No,No,Yes,Yes,Yes,No,No,Yes
5/6/2016 11:04:07,Senior Tutor 13,Session 8,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 11:04:35,Senior Tutor 14,Session 0,No,No,No,No,No,No,No,No
5/6/2016 11:10:56,Senior Tutor 14,Session 1,Yes,No,Yes,Yes,No,Yes,Yes,Yes
5/6/2016 11:13:32,Senior Tutor 13,Session 9,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 11:17:52,Senior Tutor 14,Session 2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 11:21:00,Senior Tutor 14,Session 3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 11:25:34,Senior Tutor 14,Session 4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 11:31:36,Senior Tutor 14,Session 5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 11:33:01,Senior Tutor 13,Session 10,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 11:39:32,Senior Tutor 14,Session 6,Yes,No,Yes,No,No,Yes,Yes,No
5/6/2016 11:47:28,Senior Tutor 14,Session 7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 11:53:22,Senior Tutor 14,Session 8,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 11:57:47,Senior Tutor 14,Session 9,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 11:59:48,Answer Key,Session 1,Yes,No,Yes,Yes,No,Yes,No,Yes
5/6/2016 12:02:20,Senior Tutor 14,Session 10,Yes,No,Yes,Yes,No,Yes,Yes,No
5/6/2016 12:08:39,Answer Key,Session 2,Yes,No,Yes,No,No,Yes,No,No
5/6/2016 12:13:24,Answer Key,Session 3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 12:18:21,Answer Key,Session 4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 12:24:04,Answer Key,Session 5,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 12:32:11,Answer Key,Session 6,Yes,No,No,No,No,Yes,No,Yes
5/6/2016 12:37:37,Answer Key,Session 7,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 12:43:27,Answer Key,Session 8,No,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 12:45:59,Answer Key,Session 9,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 12:49:57,Answer Key,Session 10,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 13:33:17,Senior Tutor 5,Session 10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
